OBJECTID,Join_Count,TARGET_FID,LHD_Determination,Latitude,Longitude,See In Google Earth,Fatality,NumberOfFatalities,Beta_Source_Layer,URL,River/Stream,SARPID,Original Source,SourceID,SourceFile,MERGE_SRC,Date Rechecked,Rechecked by,SiteId,SiteUuid,WaterSourceUuids,PODorPOUSite,SiteNativeId,ID,LHD_Color,Day of Evaluation,Evaluation Comments,Evaluator's Name,Dam_Name,State Name,State Abbreviation,State FIPS Code,County Name,County FIPS Code,FIPS Code,2023 Total County Population,City,Weir_Length,LHD_SiteID,LinkNo,Reach_ID,Qmin,Qmax,LHD_Match_Dist_Meters
1,1,1,1,29.42505858,-101.0414966,"https://earth.google.com/web/@29.42505858,-101.04149663,1100a,0d,35d",Y,1,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 15:00,Fatality and LHD,Rollin Hotchkiss,Low head dam two miles downstream of Lake Amistad Dam,Texas,TX,48,Val Verde County,465,48465,47067,Amistad Village,77.84,563,770519273,,,,8.731630729
2,1,2,1,34.15446696,-117.9214548,"https://earth.google.com/web/@34.15446696,-117.92145475,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:00,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
3,1,3,1,34.15651371,-117.9189814,"https://earth.google.com/web/@34.15651371,-117.91898138,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
4,1,4,1,34.15842425,-117.9166183,"https://earth.google.com/web/@34.15842425,-117.91661827,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
5,1,5,1,34.15989491,-117.9145448,"https://earth.google.com/web/@34.15989491,-117.91454478,1100a,0d,35d",,1,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,Dam along San Gabriel River,California,CA,6,Los Angeles County,37,6037,9965925,Azusa,150.62,149,710595717,948070466,320.105573,696.9191511,15.38444408
6,1,6,1,34.16094886,-117.9120418,"https://earth.google.com/web/@34.16094886,-117.91204179,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
7,1,7,1,34.14991088,-117.9269559,"https://earth.google.com/web/@34.14991088,-117.92695592,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
8,1,8,1,34.14590035,-117.9319116,"https://earth.google.com/web/@34.14590035,-117.93191155,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
9,1,9,1,34.14387785,-117.9342319,"https://earth.google.com/web/@34.14387785,-117.93423187,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:01,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
10,1,10,1,34.14124571,-117.9369526,"https://earth.google.com/web/@34.14124571,-117.93695264,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
11,1,11,1,34.13838711,-117.9412153,"https://earth.google.com/web/@34.13838711,-117.94121533,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
12,1,12,1,34.13514635,-117.9453986,"https://earth.google.com/web/@34.13514635,-117.94539857,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
13,1,13,1,34.13348461,-117.9476746,"https://earth.google.com/web/@34.13348461,-117.94767455,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
14,1,14,1,34.1314596,-117.9497015,"https://earth.google.com/web/@34.1314596,-117.94970145,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,6/6/25 23:02,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
15,1,15,1,34.03189118,-118.0421942,"https://earth.google.com/web/@34.03189118,-118.04219417,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
16,1,16,1,34.03351869,-118.038389,"https://earth.google.com/web/@34.03351869,-118.03838903,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
17,1,17,1,34.03521245,-118.0342036,"https://earth.google.com/web/@34.03521245,-118.03420355,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
18,1,18,1,34.03709572,-118.0301912,"https://earth.google.com/web/@34.03709572,-118.0301912,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
19,1,19,1,34.03785094,-118.0246963,"https://earth.google.com/web/@34.03785094,-118.02469633,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
20,1,20,1,34.04186823,-118.0187869,"https://earth.google.com/web/@34.04186823,-118.0187869,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
21,1,21,1,34.04661025,-118.0121805,"https://earth.google.com/web/@34.04661025,-118.01218054,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
22,1,22,1,34.05297834,-118.0083499,"https://earth.google.com/web/@34.05297834,-118.00834991,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
23,1,23,1,34.06217016,-118.0051009,"https://earth.google.com/web/@34.06217016,-118.00510092,1100a,0d,35d",,,Hydrometricsaddedsites_EF,,,,,,,,,,,,,,,,Green,,,Karl Kingery,,California,CA,6,Los Angeles County,37,6037,9965925,,,,,,,,
